[i] Train : 117266
[i] Valid : 4952
[i] pred_bboxes_op : Tensor("YOLOv3/concat:0", shape=(?, ?, 85), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_3:0", shape=(?, ?, 85), dtype=float32)
[i] max_iteration : 200000
[i] decay_iteration : [100000, 160000]
[i] iter : 2000, loss : 130.3632, giou_loss : 52.7401, conf_loss : 10.4968, class_loss : 62.8340, l2_reg_loss : 4.2923, train_time : 13sec
[i] iter : 2050, loss : 117.1354, giou_loss : 47.0461, conf_loss : 9.6485, class_loss : 56.1484, l2_reg_loss : 4.2924, train_time : 13sec
[i] iter : 2100, loss : 119.8512, giou_loss : 49.9222, conf_loss : 9.9721, class_loss : 55.6646, l2_reg_loss : 4.2924, train_time : 13sec
[i] iter : 2150, loss : 103.7262, giou_loss : 40.3433, conf_loss : 8.4546, class_loss : 50.6358, l2_reg_loss : 4.2924, train_time : 13sec
[i] iter : 2200, loss : 110.1263, giou_loss : 48.6167, conf_loss : 9.6975, class_loss : 47.5196, l2_reg_loss : 4.2925, train_time : 13sec
[i] iter : 2250, loss : 114.0889, giou_loss : 49.4472, conf_loss : 9.7212, class_loss : 50.6281, l2_reg_loss : 4.2925, train_time : 14sec
[i] iter : 2300, loss : 100.9023, giou_loss : 40.5362, conf_loss : 8.4954, class_loss : 47.5781, l2_reg_loss : 4.2926, train_time : 15sec
[i] iter : 2350, loss : 101.1659, giou_loss : 43.0619, conf_loss : 8.9616, class_loss : 44.8499, l2_reg_loss : 4.2926, train_time : 14sec
[i] iter : 2400, loss : 102.0444, giou_loss : 46.6773, conf_loss : 9.5069, class_loss : 41.5676, l2_reg_loss : 4.2926, train_time : 13sec
[i] iter : 2450, loss : 106.4923, giou_loss : 49.3575, conf_loss : 10.2221, class_loss : 42.6200, l2_reg_loss : 4.2927, train_time : 13sec
[i] iter : 2500, loss : 99.7986, giou_loss : 46.9712, conf_loss : 9.2736, class_loss : 39.2612, l2_reg_loss : 4.2927, train_time : 13sec
[i] iter : 2550, loss : 95.3782, giou_loss : 44.7966, conf_loss : 9.0355, class_loss : 37.2534, l2_reg_loss : 4.2927, train_time : 13sec
[i] iter : 2600, loss : 94.7284, giou_loss : 42.4342, conf_loss : 8.6706, class_loss : 39.3310, l2_reg_loss : 4.2927, train_time : 14sec
[i] iter : 2650, loss : 98.6668, giou_loss : 47.8094, conf_loss : 9.4607, class_loss : 37.1040, l2_reg_loss : 4.2927, train_time : 13sec
[i] iter : 2700, loss : 97.8154, giou_loss : 47.3185, conf_loss : 9.3426, class_loss : 36.8616, l2_reg_loss : 4.2927, train_time : 13sec
[i] iter : 2750, loss : 97.5180, giou_loss : 47.9715, conf_loss : 9.5510, class_loss : 35.7028, l2_reg_loss : 4.2927, train_time : 14sec
[i] iter : 2800, loss : 94.9584, giou_loss : 47.4192, conf_loss : 9.2035, class_loss : 34.0430, l2_reg_loss : 4.2926, train_time : 14sec
